Transaction_ID,Customer_ID,Date,Amount,Currency,Status,Payment_Method
1,101,2024-01-01,120,USD,Completed,Credit Card
2,102,2024-01-02,540,USD,Completed,PayPal
3,103,2024-01-03,75,USD,Pending,Bank Transfer
4,101,2024-01-04,300,EUR,Completed,Credit Card
5,104,2024-01-05,1500,USD,Completed,PayPal
6,105,2024-01-06,250,EUR,Failed,Bank Transfer
7,103,2024-01-07,600,USD,Completed,Credit Card
8,106,2024-01-08,80,USD,Completed,PayPal
9,107,2024-01-09,900,EUR,Completed,Bank Transfer
10,102,2024-01-10,450,USD,Pending,Credit Card
